rank,feature,n_used,coverage_pct,pearson_corr,spearman_corr,abs_spearman,direction,strength_spearman
218,AMT_REQ_CREDIT_BUREAU_DAY,265992,86.5,0.0027,0.00492,0.00492,tăng rủi ro (corr>0),không đáng kể
219,BB_MONTH_COUNT,307511,100.0,-0.01748,-0.00443,0.00443,giảm rủi ro (corr<0),không đáng kể
220,FLAG_DOCUMENT_9,307511,100.0,-0.00435,-0.00435,0.00435,giảm rủi ro (corr<0),không đáng kể
221,FLAG_DOCUMENT_11,307511,100.0,-0.00423,-0.00423,0.00423,giảm rủi ro (corr<0),không đáng kể
222,BUREAU_CREDIT_PROLONG_SUM,307511,100.0,0.00177,0.00391,0.00391,tăng rủi ro (corr>0),không đáng kể
223,CC_SK_DPD_MEAN,86905,28.26,-0.00319,-0.00385,0.00385,giảm rủi ro (corr<0),không đáng kể
224,FLAG_DOCUMENT_21,307511,100.0,0.00371,0.00371,0.00371,tăng rủi ro (corr>0),không đáng kể
225,NONLIVINGAPARTMENTS_MODE,93997,30.57,-0.00156,-0.00367,0.00367,giảm rủi ro (corr<0),không đáng kể
226,BB_MONTHS_BALANCE_MAX,92231,29.99,0.00512,0.00358,0.00358,tăng rủi ro (corr>0),không đáng kể
227,BUREAU_BAD_DEBT_COUNT,307511,100.0,0.00353,0.00353,0.00353,tăng rủi ro (corr>0),không đáng kể
228,CC_NEGATIVE_BALANCE_MONTH_COUNT,307511,100.0,-0.00312,-0.00345,0.00345,giảm rủi ro (corr<0),không đáng kể
229,FLAG_DOCUMENT_17,307511,100.0,-0.00338,-0.00338,0.00338,giảm rủi ro (corr<0),không đáng kể
230,PREV_AMT_APPLICATION_SUM,307511,100.0,0.00714,-0.00291,0.00291,giảm rủi ro (corr<0),không đáng kể
231,LIVE_REGION_NOT_WORK_REGION,307511,100.0,0.00282,0.00282,0.00282,tăng rủi ro (corr>0),không đáng kể
232,CC_DPD_DEF_MONTH_COUNT,307511,100.0,-0.00248,-0.00279,0.00279,giảm rủi ro (corr<0),không đáng kể
233,FLAG_DOCUMENT_4,307511,100.0,-0.00267,-0.00267,0.00267,giảm rủi ro (corr<0),không đáng kể
234,APP_CREDIT_INCOME_RATIO,307511,100.0,-0.00773,-0.0018,0.0018,giảm rủi ro (corr<0),không đáng kể
235,FLAG_EMAIL,307511,100.0,-0.00176,-0.00176,0.00176,giảm rủi ro (corr<0),không đáng kể
236,HAS_BUREAU_BALANCE_HISTORY,307511,100.0,0.00168,0.00168,0.00168,tăng rủi ro (corr>0),không đáng kể
237,CC_CREDIT_LIMIT_MEAN,86905,28.26,-0.00885,-0.00159,0.00159,giảm rủi ro (corr<0),không đáng kể
238,FLAG_DOCUMENT_7,307511,100.0,-0.00152,-0.00152,0.00152,giảm rủi ro (corr<0),không đáng kể
239,FLAG_DOCUMENT_10,307511,100.0,-0.00141,-0.00141,0.00141,giảm rủi ro (corr<0),không đáng kể
240,FLAG_DOCUMENT_19,307511,100.0,-0.00136,-0.00136,0.00136,giảm rủi ro (corr<0),không đáng kể
241,PREV_AMT_CREDIT_SUM,307511,100.0,0.01076,0.00109,0.00109,tăng rủi ro (corr>0),không đáng kể
242,CODE_GENDER_UNKNOWN_FLAG,307511,100.0,-0.00107,-0.00107,0.00107,giảm rủi ro (corr<0),không đáng kể
243,PREV_UNUSED_OFFER_COUNT,307511,100.0,0.00153,0.00102,0.00102,tăng rủi ro (corr>0),không đáng kể
244,CC_DPD_MONTH_COUNT,307511,100.0,-0.00327,0.00101,0.00101,tăng rủi ro (corr>0),không đáng kể
245,AMT_REQ_CREDIT_BUREAU_HOUR,265992,86.5,0.00093,0.00099,0.00099,tăng rủi ro (corr>0),không đáng kể
246,FLAG_DOCUMENT_12,307511,100.0,-0.00076,-0.00076,0.00076,giảm rủi ro (corr<0),không đáng kể
247,AMT_REQ_CREDIT_BUREAU_WEEK,265992,86.5,0.00079,0.00074,0.00074,tăng rủi ro (corr>0),không đáng kể
248,FLAG_MOBIL,307511,100.0,0.00053,0.00053,0.00053,tăng rủi ro (corr>0),không đáng kể
249,FLAG_CONT_MOBILE,307511,100.0,0.00037,0.00037,0.00037,tăng rủi ro (corr>0),không đáng kể
250,FLAG_DOCUMENT_5,307511,100.0,-0.00032,-0.00032,0.00032,giảm rủi ro (corr<0),không đáng kể
251,FLAG_DOCUMENT_20,307511,100.0,0.00022,0.00022,0.00022,tăng rủi ro (corr>0),không đáng kể
252,AMT_ANNUITY,307499,100.0,-0.01282,-7e-05,7e-05,giảm rủi ro (corr<0),không đáng kể
